metric_uid,title,source,product,is_ml,ml_task,ml_entity,concept,n_dashboards,dashboards,aliases,dc_kg_node_id,in_chart_registry,in_dc_kg,agreement,platform,sub_platform,domain,unit,aggregation,polarity,is_derived,is_kpi,depends_on,dependency_confidence,source_code_ref,formula
blended.active_ads,Active Ads,blended,MarketingIQ,false,,,active_ads,1,creative-performance,,blended.active_ads,true,true,both,Cross-channel,,marketing,count,count_distinct,neutral,true,true,google_ads.impressions; meta_ads.impressions,high,"backend/app/repositories/creative_performance.py:432-489 (_sql_active_ads), :924-956 (_build_active_ads_metric)",Active Ads = count of distinct ad IDs that served ≥1 impression in the period (Google + Meta combined)
blended.active_audiences,Active Audiences,blended,MarketingIQ,false,,,active_audiences,1,audience-performance,,blended.active_audiences,true,true,both,Cross-channel,,marketing,count,count_distinct,neutral,true,true,google_ads.spend; meta_ads.spend,high,"backend/app/repositories/audience_performance.py:283-313 (_calculate_period_totals: ACTIVE_AUDIENCES=len(set(AUDIENCE_ID))), :319-343 (_fetch_period_totals), :657-677 (_build_active_audiences_metric)",Active Audiences = count of distinct audience IDs with activity in the period (Google ad groups + Meta ad sets)
blended.active_campaigns,Active Campaigns,blended,MarketingIQ,false,,,active_campaigns,1,campaign-matrix,,blended.active_campaigns,true,true,both,Cross-channel,,marketing,count,count_distinct,neutral,true,true,google_ads.spend; meta_ads.spend; google_ads.conversion_value; meta_ads.conversion_value; google_ads.impressions; meta_ads.impressions; google_ads.clicks; meta_ads.clicks,high,"backend/app/repositories/campaign_matrix.py:281-368 (_fetch_period_summary: COUNT(DISTINCT CAMPAIGN_ID), WHERE SPEND>0 OR CONVERSION_VALUE>0 OR IMPRESSIONS>0 OR CLICKS>0), :601-631 (_build_active_campaigns_metric)","Active Campaigns = count of distinct campaigns with any activity (spend, revenue, impressions, or clicks) in the period, across Google + Meta"
blended.audience_conversions,Audience Conversions,blended,MarketingIQ,false,,,audience_conversions,1,audience-performance,,blended.audience_conversions,true,true,both,Cross-channel,,marketing,count,sum,higher_better,true,true,google_ads.conversions; meta_ads.conversions,high,"backend/app/repositories/audience_performance.py:283-313 (_calculate_period_totals CONVERSIONS/CONVERSION_VALUE), :679-706 (_build_conversions_metric)",Audience Conversions = sum of conversions credited to audience-targeted campaigns over the period (Google + Meta)
blended.budget_at_risk,Budget at Risk,blended,MarketingIQ,false,,,budget_at_risk,1,campaign-matrix,,blended.budget_at_risk,true,true,both,Cross-channel,,marketing,currency,sum,lower_better,true,true,blended.optimize_cut_campaigns; blended.roas; blended.total_ad_spend,high,"backend/app/repositories/campaign_matrix.py:312-351 (with_quadrants, OPTIMIZE_CUT_SPEND), :726-748 (_build_budget_at_risk_metric: OPTIMIZE_CUT_SPEND / TOTAL_SPEND)","Budget at Risk = total spend on campaigns in the Optimize/Cut quadrant (high spend, low ROAS); % of Total = budget at risk ÷ total spend × 100"
blended.budget_exhaustion_days,Days Until Budget Exhaustion,blended,MarketingIQ,false,,,budget_exhaustion,1,budget-pacing,blended.budget_exhaustion,blended.budget_exhaustion,true,true,both,Cross-channel,,finance,days,ratio,neutral,true,true,google_ads.spend; meta_ads.spend,high,backend/app/repositories/budget_pacing.py:510-578 (_fetch_budget_exhaustion_data: DAYS_UNTIL_EXHAUSTION = (budget - spent)/avg_daily_spend),Days until budget exhaustion = budget remaining ÷ daily run rate. Daily run rate = average daily total spend over the selected date range. Budget remaining = monthly budget − month-to-date spend. Compared against days left in the month to flag exhaustion risk.
blended.cac,Blended CAC,blended,CustomerIQ,false,,,cac,1,customer-acquisition,,store.cac_current; store.cac_previous,true,true,both,Cross-channel,,sales,currency,ratio,lower_better,true,true,blended.total_ad_spend; magento.new_customers; google_ads.spend; meta_ads.spend,high,backend/app/repositories/customer_acquisition.py:659-691 (get_blended_cac_current: SUM(SPEND) from MART_MARKETING_DAILY / SUM(NEW_CUSTOMERS) from MART_CUSTOMER_ACQUISITION),Blended CAC = total ad spend (Google + Meta) ÷ new customers acquired
blended.cac_efficiency,CAC Efficiency,blended,CustomerIQ,false,,,cac_efficiency,1,customer-acquisition,,,true,false,only_chart_registry,Cross-channel,,sales,ratio,ratio,higher_better,true,true,magento.first_purchase_aov; blended.cac,high,"backend/app/repositories/customer_acquisition.py:221-260 (get_kpi_current first_purchase_aov), :659-691 (get_blended_cac_current); ratio assembled in features/customer_acquisition/metrics/service.py",CAC Efficiency = first-purchase AOV ÷ blended CAC (ratio above 1 means the first order alone recoups acquisition cost)
blended.conversion_rate,Site Conversion Rate,blended,MarketingIQ,false,,,conversion_rate,1,ceo-pulse,,blended.conversion.rate,true,true,both,Cross-channel,,marketing,percent,ratio,higher_better,true,true,magento.orders; ga4.sessions,high,"backend/app/repositories/ceo_pulse.py:358-361 (CONVERSION_RATE = TOTAL_ORDERS*100/SESSIONS), :650-685 (_build_conversion_rate_metric)",Site Conversion Rate = orders ÷ website sessions × 100; Change % vs comparison period
blended.conversions,Total Conversions,blended,MarketingIQ,false,,,total_conversions,1,marketing-mix,,blended.conversions,true,true,both,Cross-channel,,marketing,count,sum,higher_better,true,true,google_ads.conversions; meta_ads.conversions,high,"backend/app/repositories/marketing_mix.py:762 (TOTAL_CONVERSIONS=SUM(PLATFORM_CONVERSIONS)), :1039-1079 (_build_conversions_metric)",Total Conversions = sum of platform-reported conversions across Google + Meta
