node_id,scope,source,source_method,mart_model,source_set,source_confidence,metric_base,aggregation,product,department,grain,grain_source,schema_verified,tenant,node_class,is_derived,keep,type,type_confidence,dimensions,card_endpoint,series_endpoint,n_card,n_series,n_breakdown,mart_source,formula,formula_components,occurrences,source_dashboards,raw_ids,roles,data_owner,steward,sensitivity,compliance_tags,description,unit,polarity,aliases,last_updated,refresh_cadence,sla,null_rate,completeness,quality_score,is_kpi,priority_tier,seasonality_profile,stationarity,volatility,status,version,source_columns,source_expr,availability,history_start,history_end,n_periods
blended.absolute_top,blended,google_ads,dbt,mart_competitive_intelligence,google_ads,high,absolute_top,level,Marketing IQ,Finance / Exec,daily,dbt,yes,rare_seeds,observable,no,yes,,low,,/api/v1/competitive/metrics/absolute_top,,1,0,0,DB_RARE_SEEDS.MARTS.mart_competitive_intelligence,,,1,competitive,absolute_top,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Absolute Top (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.acquisition_churn,blended,magento,dbt,mart_customer_health,magento,high,acquisition_churn,level,Customer IQ,Customer Success,daily,dbt,no,rare_seeds,observable,no,yes,outcome,high,,,/api/v1/churn-analysis/charts/acquisition-churn,0,1,0,DB_RARE_SEEDS.MARTS.mart_customer_health,,,1,churn_analysis,acquisition-churn,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Acquisition Churn (number) — metric on blended [Customer IQ], lower_is_better.",number,lower_is_better,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.acquisition_sources,blended,magento,dbt,mart_customer_cohort,magento,high,acquisition_sources,level,Customer IQ,Customer Success,monthly,dbt,no,rare_seeds,observable,no,yes,,low,,,/api/v1/cohort-analysis/charts/acquisition-sources,0,1,0,DB_RARE_SEEDS.MARTS.mart_customer_cohort,,,1,cohort_analysis,acquisition-sources,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,internal,,"Acquisition Sources (number) — metric on blended [Customer IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.active_ads,blended,,heuristic,creative_performance,,low,active_ads,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,mediator,high,,/api/v1/creative-performance/metrics/active_ads,,1,0,0,DB_RARE_SEEDS.MARTS.creative_performance,,,1,creative_performance,active_ads,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Active Ads (count) — metric on blended [Marketing IQ], higher_is_better.",count,higher_is_better,,,daily,,,,,no,3,,,,active,1,AD_ID,COUNT(DISTINCT AD_ID),empty,,,
blended.active_audiences,blended,multi,dbt,mart_audience_performance,google_ads|meta_ads,high,active_audiences,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,mediator,high,,/api/v1/audience-performance/metrics/active_audiences,,1,0,0,DB_RARE_SEEDS.MARTS.mart_audience_performance,,,1,audience_performance,active_audiences,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Active Audiences (count) — metric on blended [Marketing IQ], higher_is_better.",count,higher_is_better,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.active_campaigns,blended,multi,dbt,mart_campaign_matrix,google_ads|klaviyo|linkedin_ads|meta_ads,high,active_campaigns,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,mediator,high,,/api/v1/campaign-matrix/metrics/active_campaigns,,1,0,0,DB_RARE_SEEDS.MARTS.mart_campaign_matrix,,,1,campaign_matrix,active_campaigns,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Active Campaigns (count) — metric on blended [Marketing IQ], higher_is_better.",count,higher_is_better,,,daily,,,,,no,3,,,,active,1,,,available,2024-04-23,2025-12-31,618
blended.ad_spend,blended,multi,dbt,mart_ceo_daily_pulse,ga4|google_ads|linkedin_ads|meta_ads,high,ad_spend,level,Marketing IQ,Finance / Exec,daily,dbt,yes,rare_seeds,observable,no,yes,controllable,high,,/api/v1/quarterly-review/metrics/ad_spend,,1,0,0,DB_RARE_SEEDS.MARTS.mart_ceo_daily_pulse,,,1,quarterly_review,ad_spend,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Ad Spend (currency) — metric on blended [Marketing IQ], lever.",currency,lever,,,quarterly,,,,,no,3,,,,active,1,TOTAL_AD_SPEND,"SUM(NVL(TOTAL_AD_SPEND, 0))",empty,,,
blended.ad_strength,blended,,heuristic,creative_performance,,low,ad_strength,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/creative-performance/charts/ad_strength,0,1,0,DB_RARE_SEEDS.MARTS.creative_performance,,,1,creative_performance,ad_strength,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Ad Strength (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.alert,blended,,heuristic,,,low,alert,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/alerts-config/charts/alert_history,0,2,0,,,,1,alerts_config,alert_history|alert_trend,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Alert (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.alert_frequency,blended,,heuristic,,,low,alert_frequency,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,controllable,high,,,/api/v1/alerts-config/charts/alert_frequency,0,1,0,,,,1,alerts_config,alert_frequency,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Alert Frequency (number) — metric on blended [Marketing IQ], lever.",number,lever,,,daily,,,,,no,3,,,,active,1,,,empty,,,
