canonical_id,chart_type,confidence,source,why
alerts-config:active_rules,kpi_card,high,entity_type,
alerts-config:alert_history,table,high,entity_type,
alerts-config:alert_rules,table,high,entity_type,
alerts-config:alert_trend,line,medium,name:_trend,
alerts-config:critical_alerts,kpi_card,high,entity_type,
alerts-config:current_alerts,table,high,entity_type,
alerts-config:current_performance,table,high,entity_type,
alerts-config:notification_channels,table,high,entity_type,
alerts-config:percentile_baselines,line,low,llm,Baseline thresholds plotted across time/period for alerting
alerts-config:response_time,kpi_card,high,entity_type,
alerts-config:seasonal_factors,line,medium,llm,Seasonal multiplier pattern across cyclical time periods
alerts-config:warning_alerts,kpi_card,high,entity_type,
annual-planning:blended_roas,kpi_card,high,entity_type,
annual-planning:campaign_type,bar,medium,llm,Performance metric compared across campaign types
annual-planning:channel_efficiency,bar,medium,llm,Sharpe efficiency compared across channels
annual-planning:channel_revenue,bar,medium,llm,Revenue compared across channels
annual-planning:historical_annual,area,medium,llm,Stacked spend composition by channel over years
annual-planning:monthly_trend,line,medium,name:_trend,
annual-planning:projected_revenue,kpi_card,high,entity_type,
annual-planning:quarterly_roas,line,medium,llm,ROAS ratio trend per channel over quarters
annual-planning:seasonality,line,medium,llm,Seasonal coefficient cycle across ordered months
annual-planning:spend_buckets,line,medium,llm,Diminishing-returns response curve of ROAS vs spend
annual-planning:total_budget,kpi_card,high,entity_type,
annual-planning:yoy_change,kpi_card,high,entity_type,
annual-planning:yoy_growth,bar,low,llm,Growth rates compared across categories
attribution:assisted_conversions,grouped_bar,medium,name:vs_,
attribution:attribution_gap_trend,line,medium,name:_trend,
attribution:attribution_model_comparison,table,high,entity_type,
attribution:direct_blackhole,donut,low,llm,Share of unattributable direct traffic vs attributed
attribution:direct_share,kpi_card,high,entity_type,
attribution:ga4_magento_gap,kpi_card,high,entity_type,
attribution:google_gap,kpi_card,high,entity_type,
attribution:klaviyo_gap,kpi_card,high,entity_type,
attribution:meta_gap,kpi_card,high,entity_type,
attribution:path_length_distribution,bar,high,llm,Histogram of conversion path-length buckets
attribution:revenue_attribution_sankey,sankey,medium,name:sankey,
attribution:revenue_reconciliation,kpi_card,high,entity_type,
attribution:time_to_conversion,bar,medium,llm,Distribution of time-to-convert buckets
attribution:total_revenue,kpi_card,high,entity_type,
attribution:vtc_impact,bar,low,llm,View-through conversion contribution compared across channels
